ta_token,ta_counter
000,1
0°,1
10,53
1000,3
101ten,1
106,1
109°40,1
109°46'45,1
11,38
11ten,1
11½,1
12,20
120°,2
122°30,1
12füssige,1
12jährige,1
12jähriger,1
12ten,2
12°,1
12¼,1
13,43
135°,1
139°8'40,1
13jährige,1
13ten,2
13°,1
14,18
141°39,1
142°38,1
143°16,1
144°56,1
146°,1
147°30,1
148°48,1
149°35,1
14Jährige,1
14ten,2
14tägigen,1
14°28,1
15,11
150jährigen,1
151°50,1
151°7,1
152°8,1
154°8,1
156°54,1
15Jährigen,1
15jähriges,1
15te,2
15ten,2
15°35,1
15°50,1
15°6,1
16,12
163°10,1
163°40,1
164°18,1
164°40,1
165°2,1
166°52,1
167°14,1
167°15,1
167°23,1
168°2,1
168°24,1
168°30,2
168°36,1
169°20,1
169°37,1
16jähriges,2
16ten,6
16°15,1
16°25,1
16°27,1
16°28,1
16°42,1
17,10
170°5,1
172°,1
174°32,1
174°42,1
174°48,1
1750er,1
175°59,1
17Jährige,1
17jährige,1
17te,1
17ten,4
17°24,1
17°29',1
17°2o,1
17°4,1
17°48,1
17°5,1
17½,1
18,22
1870er,1
1880er,1
18Jährige,1
18Jährigen,1
18jähriges,1
18ten,4
18°48,1
18¼,1
19,21
19jährigen,1
19jähriger,2
19ten,2
19°1,1
19°37,1
19°45,1
1Mark,1
1te,1
1ten,5
1½,2
20,18
20Jährige,1
20jährigen,2
20jähriger,1
20te,1
20°,2
20°15,1
20°17,1
20°3,1
20°30,1
20°6,1
21,12
21jährige,2
21ten,1
21°11,1
21°22,1
22,11
22jährige,1
22jährigen,1
22ten,1
22°,4
22°15,1
22°16,1
23,15
23Jährige,1
23jährigen,1
23ten,1
23°,1
24,18
24stündigem,1
24ten,3
25,13
25jährige,1
25jähriges,1
25ten,1
25°,1
26,7
26jährigen,1
26ten,4
26°35,1
27,16
27jährig,1
27°19,1
27°30,1
27°49,1
27°6,1
28,9
29,14
29ten,1
29°,1
2te,3
2ten,9
2½,1
2½jähriges,1
30,3
300jährigen,1
30jährige,1
30jährigen,3
31,17
31°,1
32,7
32füßiges,1
32tes,1
32°,1
33,3
34,2
345,1
35,7
35jährig,1
35jährige,1
35°,1
36,11
36°,3
37,5
37°,1
38,4
39,4
39°,1
39½,1
3en,1
3fach,1
3füssige,1
3te,1
3ten,7
40,4
41,1
41jährige,1
41°,1
42,3
42º,1
43,5
43jährige,1
43°,1
44,5
44°,1
45,1
45°,4
46,3
46°,1
47,5
47°,2
48,2
48°,2
49,2
49°,1
4eckigen,1
4te,2
4tehalb,1
4ten,6
50,3
51,5
52,1
53°,1
54jährigen,1
54°,2
55°,6
56°,1
57,1
57°,4
57°10,1
57°48,1
58°,3
58°55,1
59°,2
59°30,1
5ten,3
60er,3
60jährige,2
60°,3
62ten,1
62°,3
63,2
64°,1
65jährigen,1
66,3
66°,1
67jährigen,1
69,1
69°,1
6o°,1
6ten,1
6°,1
71°10'30,1
72,1
74jährige,1
76,1
76jährige,1
78°,1
79°,1
7te,1
7ten,2
7°,2
800jährige,1
80°,1
81,1
81º,1
82,1
83°,1
84°,2
8ten,1
8tägigen,1
8°,1
90er,2
90°,1
94°,1
96,1
9ten,1
ABC,6
ADRIANOPOLIS,2
AEG,2
AFRIKA,1
AFRIKAS,1
AItenburg,1
AKTEN,1
ALAMANNEN,3
ALANEN,2
ALLGEMEINE,2
AMMIANUS,1
ANGELVS,1
ANMERKUNGEN,1
ANT,1
ANTONIUS,1
APRIL,1
ARMEE,1
ARMEEREFORM,1
ARMENIEN,1
ASIEN,1
ASIENS,1
AT,1
ATHANERICH,1
AUFGEGEBEN,1
AUGUST,1
AUGUSTUS,1
