author,title,genre,token_count,sentence_count,avg_sentence_length,avg_syllables
"Ranke, Leopold von",Vom Einfluß der Theorie,Geschichte,869,39,22.28205128205128,1.85385500575374
"Ranke, Leopold von",Über die Verwandtschaft und den Unterschied der Historie und der Politik,Geschichte,2025,68,29.779411764705888,1.8108641975308641
"Ranke, Leopold von",Über die Epochen der neueren Geschichte,Geschichte,1542,49,31.469387755102037,1.8696498054474708
"Ranke, Leopold von",Politisches Gespräch,Geschichte,12,2,6.0,1.1666666666666667
"Ranke, Leopold von",Geschichte und Philosophie,Geschichte,439,14,31.357142857142854,1.8747152619589977
"Ranke, Leopold von",Frankreich und Deutschland,Geschichte,2468,104,23.73076923076923,1.846839546191248
"Ranke, Leopold von",Die großen Mächte,Geschichte,858,34,25.235294117647058,1.9825174825174825
"Grube, August Wilhelm",Charakterbilder aus der Geschichte und Sage. Dritter Theil: Die neue Zeit,Geschichte,2773,113,24.53982300884956,1.6739992787594662
"Burckhardt, Jacob",Weltgeschichtliche Betrachtungen,Geschichte,2399,85,28.2235294117647,1.932471863276365
"Mommsen, Theodor","Römische Geschichte, Buch 5",Geschichte,8439,245,34.44489795918367,1.9469131413674605
"Mommsen, Theodor","Römische Geschichte, Buch 4",Geschichte,18100,494,36.639676113360316,1.9229834254143647
"Mommsen, Theodor","Römische Geschichte, Buch 3",Geschichte,6822,165,41.345454545454544,1.924215772500733
"Mommsen, Theodor","Römische Geschichte, Buch 2",Geschichte,5396,129,41.829457364341096,1.98295033358043
"Mommsen, Theodor","Römische Geschichte, Buch 1",Geschichte,576,20,28.8,1.953125
"Mommsen, Theodor",Das Römische Imperium der Cäsaren,Geschichte,335,10,33.5,1.9701492537313432
"Gregorovius, Ferdinand",Der Kaiser Hadrian,Geschichte,321,10,32.1,1.8629283489096573
"Gregorovius, Ferdinand",Athenaïs,Geschichte,1013,33,30.696969696969692,1.9190523198420533
"Wilde, Oscar",Salome,Kultur und Kunst,3584,458,7.82532751091703,1.4776785714285714
"Machiavelli, Niccolo",Politische Betrachtungen über die alte und die italienische Geschichte,Geschichte,2599,89,29.20224719101123,1.9249711427472105
"Gregorovius, Ferdinand",Geschichte der Stadt Rom im Mittelalter,Geschichte,694,130,5.338461538461538,1.9855907780979827
"Wagner, Richard",Die Meistersinger von Nürnberg,Kultur und Kunst,480,23,20.869565217391305,1.8041666666666667
"Gibbon, Edward",Verfall und Untergang des Römischen Reiches. Band IV,Geschichte,13616,369,36.89972899728997,1.952262044653349
"Gibbon, Edward",Verfall und Untergang des Römischen Reiches. Band III,Geschichte,7627,222,34.35585585585586,1.9843975350727678
"Gibbon, Edward",Verfall und Untergang des Römischen Reiches. Band II,Geschichte,5773,197,29.304568527918786,2.0171487961198684
"Gibbon, Edward",Verfall und Untergang des Römischen Reiches. Band I,Geschichte,3999,142,28.161971830985923,2.0147536884221053
"Kurz, Isolde",Aus meinem Jugendland,Biographie,330,15,22.0,1.9636363636363636
"Wasielewski, Wilhelm Joseph von",Die Violine und ihre Meister,Kultur und Kunst,1965,83,23.674698795180728,2.102798982188295
"Wagner, Richard",Siegfried,Kultur und Kunst,273,35,7.8,1.293040293040293
"Gregorovius, Ferdinand",Geschichte der Stadt Athen im Mittelalter,Geschichte,1389,64,21.703125,1.8740100791936645
"Friedlaender, Ludwig",Sittengeschichte Roms,Geschichte,7316,215,34.027906976744184,1.895571350464735
"Panizza, Oskar",Stoßseufzer aus Bayreuth,Kultur und Kunst,3536,127,27.842519685039374,1.9479638009049773
"Wagner, Richard",Götterdämmerung,Kultur und Kunst,180,17,10.588235294117649,1.4333333333333333
"Wagner, Richard",Auswahl seiner Schriften,Kultur und Kunst,1129,34,33.20588235294117,1.8396811337466785
"Spohr, Louis",Louis Spohr's Selbstbiographie. Erster Band,Kultur und Kunst,1034,23,44.95652173913044,1.855899419729207
"Schumann, Robert",Gesammelte Schriften über Musik und Musiker. Zweiter Band,Kultur und Kunst,512,23,22.26086956521739,1.818359375
"Schumann, Robert",Gesammelte Schriften über Musik und Musiker. Erster Band,Kultur und Kunst,299,13,23.0,1.7892976588628762
"Rolland, Romain",Musikalische Reise ins Land der Vergangenheit,Kultur und Kunst,2069,79,26.189873417721518,1.834219429676172
"Wagner, Richard",Oper und Drama,Kultur und Kunst,908,18,50.444444444444436,1.8370044052863437
Verschiedene Autoren,Deutschlands Liederschatz,Kultur und Kunst,176,7,25.142857142857146,1.3920454545454546
"Nohl, Ludwig",Spohr,Kultur und Kunst,281,6,46.83333333333334,1.8434163701067616
"Wagner, Richard",Die Walküre,Kultur und Kunst,192,17,11.294117647058822,1.3229166666666667
"Storck, Karl",Mozart - Sein Leben und Schaffen,Kultur und Kunst,4381,130,33.7,1.8532298561972151
"Nietzsche, Friedrich Wilhelm",Nietzsche kontra Wagner,Kultur und Kunst,1151,26,44.269230769230774,1.7471763683753259
"Nohl, Ludwig",Mozart,Kultur und Kunst,2318,78,29.71794871794872,1.7105263157894737
"Nohl, Ludwig",Liszt,Kultur und Kunst,326,9,36.22222222222222,1.7852760736196318
"Nohl, Ludwig",Haydn,Kultur und Kunst,2654,86,30.86046511627907,1.7882441597588545
"Nohl, Ludwig",Wagner,Kultur und Kunst,1392,52,26.76923076923077,1.8369252873563218
"Morold, Max",Anton Bruckner,Kultur und Kunst,1095,41,26.707317073170728,1.8474885844748858
"Loerke, Oskar",Anton Bruckner. Ein Charakterbild,Kultur und Kunst,586,26,22.538461538461537,1.735494880546075
"Loerke, Oskar",Das unsichtbare Reich,Kultur und Kunst,2671,120,22.25833333333333,1.8648446274803445
"Nohl, Ludwig",Beethoven,Kultur und Kunst,1814,61,29.73770491803279,1.8015435501653805
"Nohl, Ludwig",Biographie Webers,Kultur und Kunst,303,10,30.3,1.7557755775577557
"Lipsius, Maria",Musikalische Studienköpfe. Dritter Band: Jüngstvergangenheit,Kultur und Kunst,4028,132,30.51515151515152,1.894240317775571
"Lipsius, Maria",Musikalische Studienköpfe. Zweiter Band: Ausländische Meister,Kultur und Kunst,5646,183,30.852459016393446,1.918349273822175
"Lipsius, Marie",Musikalische Studienköpfe. Erster Band: Romantiker,Kultur und Kunst,148,6,24.66666666666667,1.64343163538874
"Lux, Joseph August",Ludwig van Beethoven,Kultur und Kunst,4014,158,25.40506329113924,1.8918918918918919
"Hoffmann, E.T.A.",Beethovens Instrumentalmusik,Kultur und Kunst,1745,45,38.77777777777778,1.7842551071250623
"Grillparzer, Franz",Erinnerungen an Beethoven,Kultur und Kunst,3136,129,24.31007751937985,1.8779369627507163
"Da Ponte, Lorenzo",Don Giovanni,Kultur und Kunst,4244,623,6.812199036918138,1.7104591836734695
"Braun, Lily",Madeleine Guimard,Kultur und Kunst,2074,245,8.465306122448979,1.4785579641847313
"Hoffmann, E.T.A.",Musikalische Aufsätze und Rezensionen - Vermischte Schriften,Kultur und Kunst,590,14,42.142857142857146,1.5713596914175507
"Devrient, Eduard Philipp",Hans Heiling,Kultur und Kunst,157,23,6.826086956521738,1.664406779661017
"Berlioz, Hector",Lebenserinnerungen,Kultur und Kunst,230,11,20.90909090909091,1.3738317757009346
"Wölfflin, Heinrich",Kunstgeschichtliche Grundbegriffe. Das Problem der Stilentwickelung in der neuern Kunst,Kultur und Kunst,768,31,24.774193548387093,1.5477707006369428
"Thode, Heinrich",Böcklin und Thoma. Acht Vorträge über neudeutsche Malerei,Kultur und Kunst,288,12,24.0,1.8565217391304347
"Wölfflin, Heinrich",Die Kunst Albrecht Dürers,Kultur und Kunst,774,30,25.8,1.9817708333333333
"Wölfflin, Heinrich",Die klassische Kunst. Eine Einführung in die italienische Renaissance,Kultur und Kunst,765,25,30.6,1.9756944444444444
"Winckelmann, Johann Joachim",Beschreibung des Apollo und des Torso im Belvedere zu Rom,Kultur und Kunst,567,20,28.35,1.822997416020672
"Winckelmann, Johann Joachim",Geschichte der Kunst des Altertums,Kultur und Kunst,1653,34,48.61764705882353,1.8666666666666667
"Scheerbart, Paul",Glasarchitektur,Kultur und Kunst,3735,215,17.372093023255815,1.657848324514991
"Vasari, Giorgio",Künstler der Renaissance,Kultur und Kunst,1149,54,21.277777777777782,1.8009679370840896
"Ravendro, Ravi",Indische Kunst,Kultur und Kunst,151,6,25.16666666666667,1.8607764390896921
"Schlegel, Friedrich",Nachricht von den Gemählden in Paris,Kultur und Kunst,2012,58,34.6896551724138,1.8946910356832027
"Muther, Richard",Geschichte der Malerei 5,Kultur und Kunst,1050,57,18.42105263157895,1.8278145695364238
"Sauerlandt, Max",Über die Anfänge der Landschaftsmalerei im 19. Jahrhundert,Kultur und Kunst,3129,83,37.69879518072289,1.8170974155069584
"Muther, Richard",Geschichte der Malerei 4,Kultur und Kunst,1327,79,16.79746835443038,2.1774193548387095
"Ubell, Hermann",Praxiteles,Kultur und Kunst,1292,37,34.91891891891892,1.918095238095238
"Sauerlandt, Max",Griechische Bildwerke,Kultur und Kunst,3063,90,34.03333333333333,1.7871524448705656
"Salomon, Erich",Berühmte Zeitgenossen in unbewachten Augenblicken,Kultur und Kunst,5695,207,27.512077294685987,1.8651092690278825
"Muther, Richard",Geschichte der Malerei 3,Kultur und Kunst,602,38,15.842105263157894,1.8544891640866874
"Muther, Richard",Geschichte der Malerei 2,Kultur und Kunst,521,21,24.809523809523807,1.8736532810969637
"Prinzhorn, Hans",Bildnerei der Geisteskranken,Kultur und Kunst,435,18,24.16666666666667,1.9006145741878842
"Prels, Max",Kino,Kultur und Kunst,7368,288,25.58333333333333,1.845514950166113
"Lichtwark, Alfred",Der Sammler,Kultur und Kunst,6100,295,20.677966101694924,1.7293666026871402
"Langbehn, Julius",Rembrandt als Erzieher,Kultur und Kunst,2104,61,34.49180327868852,2.1126436781609197
